,year,order,DBCODE,ENTITY,COMPLEX,MEADOW,DATE,WATCH,OBSERVER,PLOT,START,X,MINUTE,CLOUDS,WIND,TEMP,STATUS,NO_INT,PLTSP_CODE,PLTSP_NAME,VISSP_CODE,VISSP_NAME,VECTOR.GUILD,COLLECTION.NUMBER,NOTES,NOTES.1,NOTES.2,NOTES.3,NOTES.4,NOTES.5,NOTES.6,NOTES.7,NOTES.8
4948,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,7,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,34176,black and yellow stripes,NA,NA,NA,NA,NA,NA,NA,NA
4949,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,8,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,unidentified,NA,NA,NA,NA,NA,NA,NA,NA
4950,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,9,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,unidentified black and yellow fly,NA,NA,NA,NA,NA,NA,NA,NA
4951,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,10,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,syrphid A,NA,NA,NA,NA,NA,NA,NA,NA
4954,14,NA,SA026,1,Lookout,LM,6/30/2014,1,LKB + KH,9,NA,NA,13,S,St,NA,1,1,ZIGAVENE,Zigadenus venenosus,NA,NA,NA,NA,syrphid A,NA,NA,NA,NA,NA,NA,NA,NA
1032,2014,NA,SA026,1,Carpenter,CB,7/9/2014,2,DY,5,1145,NA,2,S,St ,26,1,1,VICIAMER,Vicia americana,,,NA,34003,,NA,NA,NA,NA,NA,NA,NA,NA
1029,2014,NA,SA026,1,Carpenter,CB,7/9/2014,2,DY,10,1215,NA,15,S,St ,26.5,1,2,VICIAMER,Vicia americana,,,NA,34772,,NA,NA,NA,NA,NA,NA,NA,NA
463,14,NA,SA026,1,Frissell,RP1,7/8/2014,1,DY,3,1247,NA,7,S,St ,28,1,4,VICIAMER,Vicia americana,NA,NA,NA,34503,,NA,NA,NA,NA,NA,NA,NA,NA
921,2014,NA,SA026,1,Lookout,LB,7/10/2014,2,DY,1,1054,NA,6,S,St ,24.5,1,3,VICIAMER,Vicia americana,,,NA,34442,,NA,NA,NA,NA,NA,NA,NA,NA
560,14,NA,SA026,1,Lookout,LS,7/7/2014,1,DY,3,1031,NA,7,S,St ,26.5,1,4,VICIAMER,Vicia americana,NA,NA,NA,34351,,NA,NA,NA,NA,NA,NA,NA,NA
571,14,NA,SA026,1,Lookout,LS,7/7/2014,1,DY,3,1031,NA,15,S,St ,26.5,1,1,VICIAMER,Vicia americana,NA,NA,NA,34346,,NA,NA,NA,NA,NA,NA,NA,NA
7240,2014,NA,SA026,1,Carpenter,CPR,7/9/2014,2,LKB,9,1242,NA,5,S,St,29,1,1,VICIAMER,Vicia americana,NA,NA,NA,NA,Unidentified bumblebee,,NA,NA,NA,NA,NA,NA,NA
7241,2014,NA,SA026,1,Carpenter,CPR,7/9/2014,2,LKB,9,1242,NA,6,S,St,29,1,1,VICIAMER,Vicia americana,NA,NA,NA,NA,Unidentified bumblebee,,NA,NA,NA,NA,NA,NA,NA
7245,2014,NA,SA026,1,Carpenter,CPR,7/9/2014,2,LKB,9,1242,NA,9,S,St,29,1,1,VICIAMER,Vicia americana,NA,NA,NA,NA,Unidentified bumblebee,,NA,NA,NA,NA,NA,NA,NA
7428,2014,NA,SA026,1,Carpenter,CPS,7/1/2014,1,LKB,10,1020,1048,6,S,St,NA,1,2,VICIAMER,Vicia americana,NA,NA,NA,NA,Unidentified small black insect,,NA,NA,NA,NA,NA,NA,NA
8248,14,NA,SA026,NA,Lookout,LO,7/17/2014,3,RM,10,1134,NA,3,S,St,NA,1,1,VICIAMER,Vicia americana,,,,34918,common bombus,,NA,NA,NA,NA,NA,NA,NA
8252,14,NA,SA026,NA,Lookout,LO,7/17/2014,3,RM,10,1134,NA,5,S,St,NA,1,2,VICIAMER,Vicia americana,,,,34918,,,NA,NA,NA,NA,NA,NA,NA
8256,14,NA,SA026,NA,Lookout,LO,7/17/2014,3,RM,10,1134,NA,9,S,St,NA,1,1,VICIAMER,Vicia americana,,,,34918,,,NA,NA,NA,NA,NA,NA,NA
8259,14,NA,SA026,NA,Lookout,LO,7/17/2014,3,RM,10,1134,NA,12,S,St,NA,1,2,VICIAMER,Vicia americana,,,,34918,,,NA,NA,NA,NA,NA,NA,NA
8260,14,NA,SA026,NA,Lookout,LO,7/17/2014,3,RM,10,1134,NA,13,S,St,NA,1,4,VICIAMER,Vicia americana,,,,34918,,,NA,NA,NA,NA,NA,NA,NA
7692,14,NA,SA026,NA,Lookout,LS,7/7/2014,1,RM,6,1033,NA,7,S,St,NA,1,2,VICIAMER,Vicia americana,,,,34285,,,NA,NA,NA,NA,NA,NA,NA
5034,14,NA,SA026,1,Carpenter,CPB,7/3/2014,1,JL,7,1155,NA,14,S,ST,18,1,1,VICIAMER,Vicia america,NA,NA,NA,34127,bee,,NA,NA,NA,NA,NA,NA,NA
5539,14,NA,SA026,1,Lookout,LB,8/4/2014,5,JL,1,1038,NA,6,S,S,NA,1,6,VICIAMER,Vicia america,NA,NA,NA,34363,,,NA,NA,NA,NA,NA,NA,NA
1492,2014,NA,SA026,1,Carpenter,CPB,7/30/2014,4,DY,5,1037,NA,8,S,St ,24,1,5,VALESCOU,Valeriana scouleri ,,,NA,NA,"Brown, Orange, and Black Butterfly",NA,NA,NA,NA,NA,NA,NA,NA
7556,14,NA,SA026,NA,Lookout,LB,6/30/2014,1,RM,9,NA,NA,13,S,St,28,1,1,UNK PURP,Unk purple carrot/buckwheat,,,,34003,,,NA,NA,NA,NA,NA,NA,NA
1756,2014,NA,SA026,1,Carpenter,CM,8/6/2014,5,DY,6,1034,NA,15,SH,St ,19,1,2,PENSPROC,Penstemon procerus,BOMBMIXT,Bombus mixtus,NA,NA,,NA,orig ID stachys mexicana,NA,NA,NA,NA,NA,NA
1338,2014,NA,SA026,1,Carpenter,CPM,7/28/2014,3,DY,5,1148,NA,4,S,St ,28.5,1,1,PENSPROC,Penstemon procerus,BOMBMIXT,Bombus mixtus,NA,NA,,NA,orig ID stachys mexicana,NA,NA,NA,NA,NA,NA
1339,2014,NA,SA026,1,Carpenter,CPM,7/28/2014,3,DY,5,1148,NA,4,S,St ,28.5,1,1,PENSPROC,Penstemon procerus,BOMBMIXT,Bombus mixtus,NA,NA,,NA,orig ID stachys mexicana,NA,NA,NA,NA,NA,NA
1340,2014,NA,SA026,1,Carpenter,CPM,7/28/2014,3,DY,5,1148,NA,4,S,St ,28.5,1,1,PENSPROC,Penstemon procerus,BOMBMIXT,Bombus mixtus,NA,NA,,NA,orig ID stachys mexicana,NA,NA,NA,NA,NA,NA
1805,2014,NA,SA026,1,Carpenter,CM,8/6/2014,5,DY,9,1137,NA,13,S,St ,22.5,1,1,SOLICANA,Solidago canadensis,,,NA,NA,Shiny Blue Fly,NA,NA,NA,NA,NA,NA,NA,NA
3540,14,NA,SA026,1,Lookout,LM,7/31/2014,NA,IP,10,1130,NA,15,S,St,NA,1,1,SOLICANA,Solidago canadensis,NA,,NA,NA,Black Beetle,Picture ID - IP5,NA,NA,NA,NA,NA,NA,NA
3167,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,2,PC,B,27,1,7,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3168,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,3,PC,B,27,1,10,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3169,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,3,PC,B,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3170,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,3,PC,B,27,1,4,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3171,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,3,PC,B,27,1,4,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3175,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,4,PC,B,27,1,1,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3177,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,5,PC,B,27,1,10,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3178,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,5,PC,B,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3179,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,5,PC,B,27,1,4,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3183,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,5,PC,B,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3184,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,6,PC,B,27,1,5,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3186,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,6,PC,B,27,1,5,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3187,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,6,PC,B,27,1,4,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3189,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,7,PC,B,27,1,8,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3190,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,7,PC,B,27,1,9,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3191,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,7,PC,B,27,1,10,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3194,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,8,PC,B,27,1,5,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3198,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,8,PC,B,27,1,4,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3204,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,9,PC,B,27,1,8,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3205,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,10,PC,St,27,1,13,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3206,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,10,PC,St,27,1,10,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3211,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,11,PC,St,27,1,8,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3213,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,11,PC,St,27,1,5,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3217,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,12,PC,St,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,NA,Apis mellifera,,NA,NA,NA,NA,NA,NA,NA
3219,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,12,PC,St,27,1,5,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3220,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,12,PC,St,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3221,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,12,PC,St,27,1,2,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3222,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,13,PC,St,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3223,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,13,PC,St,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3231,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,14,PC,St,27,1,3,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
3238,14,NA,SA026,1,Frissell,M2,8/5/2014,5,KH,10,1236,NA,15,PC,St,27,1,2,SOLICANA,Solidago canadensis,NA,NA,NA,34396,REF,,NA,NA,NA,NA,NA,NA,NA
8617,14,NA,SA026,NA,Lookout,LM,7/31/2014,4,RM,5,1128,NA,1,S,St,NA,1,5,SOLICANA,Solidago canadensis,BOMBMIXT,Bombus mixtus,,,,,NA,NA,NA,NA,NA,NA,NA
8620,14,NA,SA026,NA,Lookout,LM,7/31/2014,4,RM,5,1128,NA,4,S,St,NA,1,5,SOLICANA,Solidago canadensis,,,,35799, REF black beetle,,NA,NA,NA,NA,NA,NA,NA
8623,14,NA,SA026,NA,Lookout,LM,7/31/2014,4,RM,5,1128,NA,6,S,St,NA,1,2,SOLICANA,Solidago canadensis,,,,35799, REF black beetle,,NA,NA,NA,NA,NA,NA,NA
8624,14,NA,SA026,NA,Lookout,LM,7/31/2014,4,RM,5,1128,NA,6,S,St,NA,1,5,SOLICANA,Solidago canadensis,,,,35799, REF black beetle,,NA,NA,NA,NA,NA,NA,NA
8627,14,NA,SA026,NA,Lookout,LM,7/31/2014,4,RM,5,1128,NA,9,S,St,NA,1,7,SOLICANA,Solidago canadensis,,,,,"unk.- could not capture, long tailed wasp wth a skinny, black and red tail",,NA,NA,NA,NA,NA,NA,NA
8630,14,NA,SA026,NA,Lookout,LM,7/31/2014,4,RM,5,1128,NA,12,S,St,NA,1,20,SOLICANA,Solidago canadensis,BOMBMIXT,Bombus mixtus,,,,,NA,NA,NA,NA,NA,NA,NA
5717,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,4,1234,NA,0,S,B,NA,1,2,SOLICADE,Solidago cadensis,NA,NA,NA,34276,,,NA,NA,NA,NA,NA,NA,NA
5718,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,4,1234,NA,1,S,B,NA,1,1,SOLICADE,Solidago cadensis,NA,NA,NA,,black/yellow fly,,NA,NA,NA,NA,NA,NA,NA
5689,14,NA,SA026,1,Lookout,LM,7/31/2014,4,JL,4,1119,NA,9,S,St,NA,1,6,SOLICADE,Solidago cadensis,NA,NA,NA,34463,,,NA,NA,NA,NA,NA,NA,NA
5719,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,4,1234,NA,10,S,B,NA,1,6,SOLICADE,Solidago cadensis,NA,NA,NA,34463,,,NA,NA,NA,NA,NA,NA,NA
5764,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,5,1325,NA,0,S,B,NA,1,30,SOLICADE,Solidago cadensis,NA,NA,NA,34463,,,NA,NA,NA,NA,NA,NA,NA
5765,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,5,1325,NA,8,S,B,NA,1,5,SOLICADE,Solidago cadensis,NA,NA,NA,,lady bug,,NA,NA,NA,NA,NA,NA,NA
5747,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,10,1308,NA,0,S,S,NA,1,5,SOLICADE,Solidago cadensis,NA,NA,NA,35377,,,NA,NA,NA,NA,NA,NA,NA
5748,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,10,1308,NA,1,S,S,NA,1,6,SOLICADE,Solidago cadensis,NA,NA,NA,35377,,,NA,NA,NA,NA,NA,NA,NA
5749,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,10,1308,NA,2,S,B,NA,1,10,SOLICADE,Solidago cadensis,NA,NA,NA,35377,,,NA,NA,NA,NA,NA,NA,NA
5750,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,10,1308,NA,6,S,B,NA,1,10,SOLICADE,Solidago cadensis,NA,NA,NA,35377,,,NA,NA,NA,NA,NA,NA,NA
5751,14,NA,SA026,1,Lookout,LM,8/4/2014,5,JL,10,1308,NA,10,S,B,NA,1,20,SOLICADE,Solidago cadensis,NA,NA,NA,34977,bombus,,NA,NA,NA,NA,NA,NA,NA
9426,14,NA,SA026,1,Frissell,NE,7/25/2014,3,RD,3,1117,NA,5,S,B,23,1,4,,shrub,NA,Apis mellifera,NA,,shrub with tiny white flowers,NA,NA,NA,NA,NA,NA,NA,NA
9431,14,NA,SA026,1,Frissell,NE,7/25/2014,3,RD,3,1117,NA,10,S,B,23,1,5,,shrub,NA,Apis mellifera,NA,,shrub with tiny white flowers,NA,NA,NA,NA,NA,NA,NA,NA
